RulesetName,MaterialPos,InfluencePos,SidesProximityPos,LineCompletionHeuristicNeg,NullHeuristicPos,LineCompletionHeuristicPos,CornerProximityNeg,MobilitySimpleNeg,CentreProximityNeg,InfluenceNeg,MaterialNeg,CornerProximityPos,MobilitySimplePos,CentreProximityPos,SidesProximityNeg,RegionProximityNeg,RegionProximityPos,ScorePos,ScoreNeg,PlayerRegionsProximityNeg,PlayerRegionsProximityPos,PlayerSiteMapCountPos,PlayerSiteMapCountNeg,OwnRegionsCountPos,OwnRegionsCountNeg,ComponentValuesPos,ComponentValuesNeg
Laram_Wali_Laram_Wali,66.6666666666667,57.8947368421053,64.4736842105263,50.8333333333333,50.25,46.6666666666667,46.3636363636364,48.5714285714286,49.7222222222222,47.25,30.7142857142857,54.7727272727273,52.9545454545455,50.7142857142857,35.9523809523809,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
Yote_Yote,77.5,52.75,93.25,26.4285714285714,28.75,68,17.8947368421053,80.75,45.5,63.5,20.7142857142857,72.5,39.5,46.6666666666667,19.047619047619,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75
Wure_Dune_Wure_Dune,49.5,63.8095238095238,33.125,58.25,49.5238095238095,55.6818181818182,17.6470588235294,30.5882352941176,21,38.5,40,62.1428571428571,85.4545454545455,68.4090909090909,56.0869565217391,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095
Abak_Default,64.4444444444444,51.5217391304348,55.7894736842105,43.9473684210526,51.5217391304348,54.0476190476191,44.2857142857143,46.5789473684211,42.9166666666667,51.5217391304348,43.421052631579,50.5263157894737,57.7777777777778,58.3333333333333,39.1304347826087,43.5714285714286,61.25,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348,51.5217391304348
Pente_Grammai_Locos_Ludi_Race,53.9130434782609,43.25,45.5555555555556,58.6842105263158,54.5238095238095,29.047619047619,48.6666666666667,55.6818181818182,51.4285714285714,48.8095238095238,50.5555555555556,47.6315789473684,44.7368421052632,56.8421052631579,53.6363636363636,54.5238095238095,54.5238095238095,54.5238095238095,54.5238095238095,54.5238095238095,54.5238095238095,39.5,65,54.5238095238095,54.5238095238095,54.5238095238095,54.5238095238095
Pente_Grammai_Locus_Ludi__Knock-Off_Mode,53.6842105263158,40.5263157894737,48.9473684210526,62.6086956521739,49.5238095238095,16.4705882352941,35.2380952380952,58.3333333333333,53.3333333333333,62.1052631578947,48,62.8571428571429,46.5,59,50,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095,36,60,49.5238095238095,49.5238095238095,49.5238095238095,49.5238095238095
Shah_Shah,52.2222222222222,50,47.8571428571429,37.6315789473684,46.8181818181818,50,55.8695652173913,59.4444444444444,60,69.0909090909091,30.2380952380952,48.75,50,49.25,56.0526315789474,46.8181818181818,46.8181818181818,44.5238095238095,42.8571428571429,46.8181818181818,46.8181818181818,46.8181818181818,46.8181818181818,46.8181818181818,46.8181818181818,46.8181818181818,46.8181818181818
Koruboddo_Koruboddo,94.0476190476191,74.5238095238095,81.875,38.3333333333333,31.9047619047619,48.25,31.0526315789474,55.5263157894737,44.2105263157895,44.25,11.5,81.25,58.75,47.3684210526316,17.0833333333333,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619,31.9047619047619
Djara-Badakh_Djara-Badakh,50,73.75,45,27.1052631578947,55.7894736842105,86.3888888888889,23.4090909090909,27.6315789473684,17,40.75,57.3913043478261,50.5263157894737,76.7647058823529,56.304347826087,67.8571428571429,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105,55.7894736842105
Kyoto_Shogi_Default,77.2222222222222,65.2777777777778,63.3333333333333,41.1904761904762,42.25,55.7894736842105,34.7222222222222,18.0434782608696,37.8571428571429,25.2380952380952,19.3181818181818,82.1428571428571,79.0909090909091,76.0526315789474,43.421052631579,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25
Guerrilla_Checkers_Default,80,67.5,71.4285714285714,37.8947368421053,36.6666666666667,56.8421052631579,25.9090909090909,40,23.1818181818182,40,34.5454545454545,72.7272727272727,76.6666666666667,67,30,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667
Um_el_Tuweisat_Um_el_Tuweisat,54.4444444444444,78.1578947368421,47.8125,57.6315789473684,46.9565217391304,48.8636363636364,50.1923076923077,40.2380952380952,48.3333333333333,37.2727272727273,47.8571428571429,47.8260869565217,75.4545454545455,57,49.7619047619048,51.4705882352941,53.0434782608696,50,53.0555555555556,54.7619047619048,48,69.7058823529412,17.75,59.25,17.8947368421053,46.9565217391304,46.9565217391304
Qi_Guo_Xiangxi_Qi_Guo_Xiangxi,86.0784553841129,39.5862676056338,69.641544117647,47.2222222222222,38.675677850189,61.7251560971941,44.7371866816311,54.1358269451053,51.1550308008213,55.0177998395508,15.5274861475649,56.8723308608676,47.9272113762352,52.3274554417899,28.2595362456473,38.675677850189,38.675677850189,88.9349847683182,16.9564781387886,38.675677850189,38.675677850189,38.675677850189,38.675677850189,38.675677850189,38.675677850189,38.675677850189,38.675677850189
Gala_Gala,42.1875,71.25,40.8333333333333,59.0625,45.3125,44.75,33.9473684210526,34.7058823529412,42.2222222222222,34.7826086956522,49.2857142857143,66.6666666666667,70.2777777777778,57.25,52.1739130434783,43.421052631579,68.2608695652174,45.3125,45.3125,56.0416666666667,46.7391304347826,45.3125,45.3125,31.6666666666667,71,45.3125,45.3125
